time,vram_used_mb,vram_total_mb,ram_used_mb,ram_total_mb,gpu_util,cpu_util,power_watts
171.87394738197327,18318.625,46068.0,10056.78515625,515640.5625,97.0,99.3,290.066
171.97450017929077,18318.625,46068.0,10053.8203125,515640.5625,99.0,208.9,290.653
172.09219694137573,18318.625,46068.0,10053.8203125,515640.5625,99.0,101.9,322.853
172.19287252426147,18318.625,46068.0,10053.8203125,515640.5625,95.0,99.3,323.864
172.2934446334839,14646.625,46068.0,10053.32421875,515640.5625,95.0,109.4,322.932
172.39389967918396,11630.625,46068.0,10056.0078125,515640.5625,97.0,169.3,309.319
172.52071261405945,18208.625,46068.0,10057.45703125,515640.5625,97.0,110.4,298.97
172.62127780914307,18316.625,46068.0,10056.79296875,515640.5625,99.0,99.4,300.399
172.7218894958496,18316.625,46068.0,10056.79296875,515640.5625,99.0,188.9,302.943
172.84014534950256,18318.625,46068.0,10056.79296875,515640.5625,99.0,101.5,304.105
172.94088172912598,18318.625,46068.0,10056.79296875,515640.5625,99.0,99.3,303.543
173.04136443138123,18318.625,46068.0,10059.4375,515640.5625,94.0,189.1,302.245
173.15594458580017,18318.625,46068.0,10059.4375,515640.5625,94.0,96.0,302.552
173.25671362876892,18318.625,46068.0,10059.4375,515640.5625,97.0,99.3,300.333
173.35721850395203,18318.625,46068.0,10059.4375,515640.5625,97.0,179.1,296.202
173.47125148773193,18318.625,46068.0,10059.19140625,515640.5625,99.0,105.2,315.083
173.57199573516846,18318.625,46068.0,10058.69921875,515640.5625,99.0,109.2,325.699
173.67253804206848,14646.625,46068.0,10054.16015625,515640.5625,97.0,99.5,325.111
173.7729938030243,11630.625,46068.0,10053.15234375,515640.5625,97.0,179.2,308.236
173.89981651306152,18208.625,46068.0,10054.53515625,515640.5625,97.0,102.5,305.794
174.0005316734314,18316.625,46068.0,10054.75390625,515640.5625,99.0,99.3,305.558
174.10102725028992,18316.625,46068.0,10054.98828125,515640.5625,99.0,199.0,306.115
174.2193455696106,18318.625,46068.0,10054.98828125,515640.5625,96.0,101.4,298.474
174.32000756263733,18318.625,46068.0,10054.98828125,515640.5625,96.0,99.4,300.694
174.42057180404663,18318.625,46068.0,10058.92578125,515640.5625,97.0,179.0,303.747
174.5354287624359,18318.625,46068.0,10058.14453125,515640.5625,97.0,104.5,304.874
174.63615918159485,18318.625,46068.0,10058.14453125,515640.5625,97.0,99.3,303.756
174.73664689064026,18318.625,46068.0,10058.14453125,515640.5625,97.0,179.1,302.559
174.85108542442322,18318.625,46068.0,10058.14453125,515640.5625,99.0,104.8,302.966
174.9517207145691,18318.625,46068.0,10058.14453125,515640.5625,99.0,89.5,322.043
175.05215644836426,14904.625,46068.0,10053.70703125,515640.5625,96.0,109.5,318.664
175.15249371528625,11630.625,46068.0,10053.20703125,515640.5625,96.0,179.4,301.362
175.28125762939453,18208.625,46068.0,10053.60546875,515640.5625,99.0,100.9,310.778
175.38187384605408,18316.625,46068.0,10054.04296875,515640.5625,99.0,99.4,311.319
175.48232579231262,18316.625,46068.0,10054.0234375,515640.5625,99.0,209.1,306.513
175.60263180732727,18318.625,46068.0,10053.6015625,515640.5625,94.0,99.7,305.777
175.70376801490784,18318.625,46068.0,10053.6015625,515640.5625,94.0,89.0,305.921
175.8042025566101,18318.625,46068.0,10057.046875,515640.5625,98.0,209.1,299.07
175.92160630226135,18318.625,46068.0,10057.046875,515640.5625,98.0,93.7,299.914
176.02218747138977,18318.625,46068.0,10057.046875,515640.5625,96.0,109.4,302.326
176.12269067764282,18318.625,46068.0,10057.046875,515640.5625,96.0,199.0,303.951
176.2403335571289,18318.625,46068.0,10057.046875,515640.5625,99.0,102.0,322.24
176.34110617637634,18318.625,46068.0,10057.046875,515640.5625,99.0,99.3,319.09
176.44156217575073,14646.625,46068.0,10052.59765625,515640.5625,94.0,99.5,318.781
